Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,2023-08-15_256samples_623B.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_629A2A.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_630A.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_631B.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_632B_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_633A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_638A1.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_642A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_643E.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP10A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP13A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP15C_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP17D.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP19F2.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP20G1.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP3F2.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP5A.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP6A.fasta_PROKKA_04102026
group_540,,hypothetical protein,18,18,1.0,1,1586,,,,1140,1140,1140.0,DHHEPMPN_01062,CBBFEIEG_03956,JAGMMPDK_02030,JCGKDLKP_02850,IJJMJDPO_00813,OPLBPFOJ_00400,PAPKKMNH_01861,EEMOKJNN_01056,JPLAHNLF_01963,DHNKKDKB_00159,EONIFOAI_05443,KPCEIPFN_03072,BLLKJOKP_00464,HALBOOGP_03732,POFILHDL_00159,GOKHHJCB_02417,MFFOPBKH_00465,HGPKINJB_02806
ampC,ampC,Beta-lactamase,18,18,1.0,1,1583,,,,1143,1143,1143.0,DHHEPMPN_05557,CBBFEIEG_05368,JAGMMPDK_05503,JCGKDLKP_05572,IJJMJDPO_05554,OPLBPFOJ_04453,PAPKKMNH_05833,EEMOKJNN_05568,JPLAHNLF_05084,DHNKKDKB_05285,EONIFOAI_01145,KPCEIPFN_00585,BLLKJOKP_05559,HALBOOGP_00625,POFILHDL_05449,GOKHHJCB_00533,MFFOPBKH_05464,HGPKINJB_01140
msuD_2,msuD_2,Methanesulfonate monooxygenase,18,18,1.0,1,1582,,,,1143,1143,1143.0,DHHEPMPN_05376,CBBFEIEG_05583,JAGMMPDK_05367,JCGKDLKP_05451,IJJMJDPO_04613,OPLBPFOJ_05202,PAPKKMNH_04568,EEMOKJNN_05272,JPLAHNLF_05390,DHNKKDKB_05254,EONIFOAI_05295,KPCEIPFN_00565,BLLKJOKP_05155,HALBOOGP_05670,POFILHDL_05157,GOKHHJCB_05133,MFFOPBKH_05066,HGPKINJB_04725
macA_2,macA_2,Macrolide export protein MacA,18,18,1.0,1,1581,,,,1143,1143,1143.0,DHHEPMPN_04974,CBBFEIEG_05223,JAGMMPDK_05313,JCGKDLKP_05254,IJJMJDPO_05040,OPLBPFOJ_05035,PAPKKMNH_04534,EEMOKJNN_04868,JPLAHNLF_05258,DHNKKDKB_04039,EONIFOAI_05576,KPCEIPFN_05546,BLLKJOKP_04227,HALBOOGP_05184,POFILHDL_02401,GOKHHJCB_05579,MFFOPBKH_04948,HGPKINJB_05320
ycaD_1,ycaD_1,putative MFS-type transporter YcaD,18,18,1.0,1,1580,,,,1143,1143,1143.0,DHHEPMPN_03241,CBBFEIEG_01468,JAGMMPDK_00172,JCGKDLKP_00962,IJJMJDPO_00485,OPLBPFOJ_00728,PAPKKMNH_00172,EEMOKJNN_00485,JPLAHNLF_00686,DHNKKDKB_00942,EONIFOAI_00440,KPCEIPFN_01378,BLLKJOKP_00790,HALBOOGP_00173,POFILHDL_00795,GOKHHJCB_02658,MFFOPBKH_01069,HGPKINJB_00173
pdxB,pdxB,Erythronate-4-phosphate dehydrogenase,18,18,1.0,1,1579,,,,1143,1143,1143.0,DHHEPMPN_02644,CBBFEIEG_03671,JAGMMPDK_03548,JCGKDLKP_04332,IJJMJDPO_05051,OPLBPFOJ_05088,PAPKKMNH_02143,EEMOKJNN_03702,JPLAHNLF_03377,DHNKKDKB_03318,EONIFOAI_04935,KPCEIPFN_02958,BLLKJOKP_05222,HALBOOGP_04031,POFILHDL_03386,GOKHHJCB_04484,MFFOPBKH_03721,HGPKINJB_03339
arnB_2,arnB_2,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,18,18,1.0,1,1578,,,,1143,1143,1143.0,DHHEPMPN_02035,CBBFEIEG_01574,JAGMMPDK_00278,JCGKDLKP_00855,IJJMJDPO_00379,OPLBPFOJ_00834,PAPKKMNH_00278,EEMOKJNN_00379,JPLAHNLF_00792,DHNKKDKB_00834,EONIFOAI_00333,KPCEIPFN_01271,BLLKJOKP_00897,HALBOOGP_00280,POFILHDL_00903,GOKHHJCB_01367,MFFOPBKH_00961,HGPKINJB_00280
potA_1,potA_1,Spermidine/putrescine import ATP-binding protein PotA,18,18,1.0,1,1577,,,,1143,1143,1143.0,DHHEPMPN_02009,CBBFEIEG_01600,JAGMMPDK_00304,JCGKDLKP_00829,IJJMJDPO_00353,OPLBPFOJ_00860,PAPKKMNH_00304,EEMOKJNN_00353,JPLAHNLF_00818,DHNKKDKB_00808,EONIFOAI_00307,KPCEIPFN_01245,BLLKJOKP_00923,HALBOOGP_00306,POFILHDL_00929,GOKHHJCB_01341,MFFOPBKH_00935,HGPKINJB_00306
garK,garK,Glycerate 2-kinase,18,18,1.0,1,1576,,,,1143,1143,1143.0,DHHEPMPN_00632,CBBFEIEG_02070,JAGMMPDK_01368,JCGKDLKP_01718,IJJMJDPO_01499,OPLBPFOJ_01278,PAPKKMNH_01253,EEMOKJNN_01453,JPLAHNLF_01288,DHNKKDKB_02549,EONIFOAI_00830,KPCEIPFN_00900,BLLKJOKP_01568,HALBOOGP_00941,POFILHDL_02148,GOKHHJCB_00218,MFFOPBKH_02333,HGPKINJB_01454
lldD_1,lldD_1,L-lactate dehydrogenase,18,18,1.0,1,1575,,,,1143,1143,1143.0,DHHEPMPN_00504,CBBFEIEG_01173,JAGMMPDK_00616,JCGKDLKP_00505,IJJMJDPO_04254,OPLBPFOJ_04158,PAPKKMNH_00539,EEMOKJNN_04605,JPLAHNLF_00505,DHNKKDKB_01547,EONIFOAI_01258,KPCEIPFN_00391,BLLKJOKP_01946,HALBOOGP_01548,POFILHDL_01642,GOKHHJCB_00934,MFFOPBKH_01277,HGPKINJB_00740
yfeW,yfeW,Putative D-alanyl-D-alanine carboxypeptidase,18,18,1.0,1,1573,,,,1146,1146,1146.0,DHHEPMPN_03755,CBBFEIEG_04076,JAGMMPDK_05153,JCGKDLKP_04240,IJJMJDPO_02951,OPLBPFOJ_03731,PAPKKMNH_03798,EEMOKJNN_04157,JPLAHNLF_04356,DHNKKDKB_05092,EONIFOAI_03889,KPCEIPFN_05511,BLLKJOKP_04093,HALBOOGP_05451,POFILHDL_04124,GOKHHJCB_03740,MFFOPBKH_04786,HGPKINJB_05682
mrdB,mrdB,Peptidoglycan glycosyltransferase MrdB,18,18,1.0,1,1572,,,,1146,1146,1146.0,DHHEPMPN_01373,CBBFEIEG_02714,JAGMMPDK_02554,JCGKDLKP_03417,IJJMJDPO_03522,OPLBPFOJ_02030,PAPKKMNH_01636,EEMOKJNN_03375,JPLAHNLF_02866,DHNKKDKB_02833,EONIFOAI_05081,KPCEIPFN_05442,BLLKJOKP_03156,HALBOOGP_03342,POFILHDL_02800,GOKHHJCB_05536,MFFOPBKH_02563,HGPKINJB_02546
group_534,,hypothetical protein,18,18,1.0,1,1568,,,,1149,1149,1149.0,DHHEPMPN_05808,CBBFEIEG_05045,JAGMMPDK_05799,JCGKDLKP_05544,IJJMJDPO_05210,OPLBPFOJ_05572,PAPKKMNH_04621,EEMOKJNN_05601,JPLAHNLF_05806,DHNKKDKB_05474,EONIFOAI_05241,KPCEIPFN_05760,BLLKJOKP_05169,HALBOOGP_06078,POFILHDL_05171,GOKHHJCB_05079,MFFOPBKH_05123,HGPKINJB_04671
adh1,adh1,Long-chain-alcohol dehydrogenase 1,18,18,1.0,1,1567,,,,1149,1149,1149.0,DHHEPMPN_04842,CBBFEIEG_05144,JAGMMPDK_00585,JCGKDLKP_05095,IJJMJDPO_00022,OPLBPFOJ_03506,PAPKKMNH_04455,EEMOKJNN_00022,JPLAHNLF_04746,DHNKKDKB_04259,EONIFOAI_00022,KPCEIPFN_03570,BLLKJOKP_01254,HALBOOGP_00592,POFILHDL_01220,GOKHHJCB_01056,MFFOPBKH_00645,HGPKINJB_00591
group_533,,hypothetical protein,18,18,1.0,1,1566,,,,1149,1149,1149.0,DHHEPMPN_04734,CBBFEIEG_00601,JAGMMPDK_03304,JCGKDLKP_04764,IJJMJDPO_04382,OPLBPFOJ_04920,PAPKKMNH_03006,EEMOKJNN_05102,JPLAHNLF_03607,DHNKKDKB_04712,EONIFOAI_02644,KPCEIPFN_04951,BLLKJOKP_03775,HALBOOGP_04995,POFILHDL_04378,GOKHHJCB_05264,MFFOPBKH_04446,HGPKINJB_04870
adhB_2,adhB_2,Alcohol dehydrogenase 2,18,18,1.0,1,1565,,,,1149,1149,1149.0,DHHEPMPN_04454,CBBFEIEG_03801,JAGMMPDK_04324,JCGKDLKP_04462,IJJMJDPO_03029,OPLBPFOJ_03653,PAPKKMNH_02013,EEMOKJNN_03572,JPLAHNLF_03507,DHNKKDKB_03447,EONIFOAI_03574,KPCEIPFN_02828,BLLKJOKP_03333,HALBOOGP_03901,POFILHDL_03257,GOKHHJCB_03662,MFFOPBKH_04256,HGPKINJB_03209
ybdL,ybdL,Methionine aminotransferase,18,18,1.0,1,1564,,,,1149,1149,1149.0,DHHEPMPN_04026,CBBFEIEG_04502,JAGMMPDK_03886,JCGKDLKP_02218,IJJMJDPO_02311,OPLBPFOJ_02812,PAPKKMNH_02659,EEMOKJNN_03009,JPLAHNLF_01662,DHNKKDKB_01834,EONIFOAI_05342,KPCEIPFN_02762,BLLKJOKP_02008,HALBOOGP_02746,POFILHDL_01915,GOKHHJCB_05465,MFFOPBKH_01962,HGPKINJB_05935
rlmN,rlmN,Dual-specificity RNA methyltransferase RlmN,18,18,1.0,1,1563,,,,1149,1149,1149.0,DHHEPMPN_04018,CBBFEIEG_04494,JAGMMPDK_03878,JCGKDLKP_02226,IJJMJDPO_02303,OPLBPFOJ_02820,PAPKKMNH_02667,EEMOKJNN_03001,JPLAHNLF_01670,DHNKKDKB_01842,EONIFOAI_05334,KPCEIPFN_02770,BLLKJOKP_02016,HALBOOGP_02738,POFILHDL_01923,GOKHHJCB_05457,MFFOPBKH_01970,HGPKINJB_05943
sotB_3,sotB_3,sugar efflux transporter,18,18,1.0,1,1562,,,,1149,1149,1149.0,DHHEPMPN_03654,CBBFEIEG_04795,JAGMMPDK_03064,JCGKDLKP_03939,IJJMJDPO_03201,OPLBPFOJ_02633,PAPKKMNH_02954,EEMOKJNN_03820,JPLAHNLF_03197,DHNKKDKB_04100,EONIFOAI_05534,KPCEIPFN_05953,BLLKJOKP_02685,HALBOOGP_04202,POFILHDL_03760,GOKHHJCB_05878,MFFOPBKH_03961,HGPKINJB_03516
alkT,alkT,Rubredoxin-NAD(+) reductase,18,18,1.0,1,1561,,,,1149,1149,1149.0,DHHEPMPN_03182,CBBFEIEG_01409,JAGMMPDK_00113,JCGKDLKP_01021,IJJMJDPO_00542,OPLBPFOJ_00671,PAPKKMNH_00113,EEMOKJNN_00542,JPLAHNLF_00627,DHNKKDKB_00999,EONIFOAI_00500,KPCEIPFN_01438,BLLKJOKP_00732,HALBOOGP_00113,POFILHDL_00737,GOKHHJCB_02718,MFFOPBKH_01127,HGPKINJB_00113
argE_1,argE_1,Acetylornithine deacetylase,18,18,1.0,1,1560,,,,1149,1149,1149.0,DHHEPMPN_02027,CBBFEIEG_01582,JAGMMPDK_00286,JCGKDLKP_00847,IJJMJDPO_00371,OPLBPFOJ_00842,PAPKKMNH_00286,EEMOKJNN_00371,JPLAHNLF_00800,DHNKKDKB_00826,EONIFOAI_00325,KPCEIPFN_01263,BLLKJOKP_00905,HALBOOGP_00288,POFILHDL_00911,GOKHHJCB_01359,MFFOPBKH_00953,HGPKINJB_00288
ssuD,ssuD,Alkanesulfonate monooxygenase,18,18,1.0,1,1559,,,,1149,1149,1149.0,DHHEPMPN_02020,CBBFEIEG_01589,JAGMMPDK_00293,JCGKDLKP_00840,IJJMJDPO_00364,OPLBPFOJ_00849,PAPKKMNH_00293,EEMOKJNN_00364,JPLAHNLF_00807,DHNKKDKB_00819,EONIFOAI_00318,KPCEIPFN_01256,BLLKJOKP_00912,HALBOOGP_00295,POFILHDL_00918,GOKHHJCB_01352,MFFOPBKH_00946,HGPKINJB_00295
mro,mro,Aldose 1-epimerase,18,18,1.0,1,1558,,,,1149,1149,1149.0,DHHEPMPN_01033,CBBFEIEG_03985,JAGMMPDK_02001,JCGKDLKP_02821,IJJMJDPO_00785,OPLBPFOJ_00428,PAPKKMNH_01832,EEMOKJNN_01084,JPLAHNLF_01934,DHNKKDKB_00131,EONIFOAI_05471,KPCEIPFN_03100,BLLKJOKP_00492,HALBOOGP_03760,POFILHDL_00131,GOKHHJCB_02445,MFFOPBKH_00493,HGPKINJB_02834
mmgC_1,mmgC_1,Acyl-CoA dehydrogenase,18,18,1.0,1,1557,,,,1149,1149,1149.0,DHHEPMPN_00163,CBBFEIEG_00832,JAGMMPDK_00959,JCGKDLKP_00162,IJJMJDPO_02689,OPLBPFOJ_01766,PAPKKMNH_00880,EEMOKJNN_02356,JPLAHNLF_00162,DHNKKDKB_01265,EONIFOAI_01543,KPCEIPFN_00105,BLLKJOKP_02390,HALBOOGP_01263,POFILHDL_01360,GOKHHJCB_00649,MFFOPBKH_01559,HGPKINJB_01025
argE_3,argE_3,Acetylornithine deacetylase,18,18,1.0,1,1556,,,,1152,1152,1152.0,DHHEPMPN_04911,CBBFEIEG_01223,JAGMMPDK_04892,JCGKDLKP_00555,IJJMJDPO_04788,OPLBPFOJ_04687,PAPKKMNH_04682,EEMOKJNN_04930,JPLAHNLF_04851,DHNKKDKB_05349,EONIFOAI_01206,KPCEIPFN_00443,BLLKJOKP_04696,HALBOOGP_01600,POFILHDL_05282,GOKHHJCB_00986,MFFOPBKH_05325,HGPKINJB_00688
pqqE,pqqE,PqqA peptide cyclase,18,18,1.0,1,1555,,,,1152,1152,1152.0,DHHEPMPN_04803,CBBFEIEG_05183,JAGMMPDK_00546,JCGKDLKP_05134,IJJMJDPO_00105,OPLBPFOJ_03423,PAPKKMNH_04494,EEMOKJNN_00105,JPLAHNLF_04785,DHNKKDKB_04298,EONIFOAI_00061,KPCEIPFN_03531,BLLKJOKP_01172,HALBOOGP_00553,POFILHDL_01181,GOKHHJCB_01095,MFFOPBKH_00684,HGPKINJB_00552
ybjJ,ybjJ,Inner membrane protein YbjJ,18,18,1.0,1,1554,,,,1152,1152,1152.0,DHHEPMPN_04093,CBBFEIEG_04330,JAGMMPDK_03713,JCGKDLKP_03705,IJJMJDPO_04562,OPLBPFOJ_04532,PAPKKMNH_02591,EEMOKJNN_04812,JPLAHNLF_03843,DHNKKDKB_02997,EONIFOAI_02410,KPCEIPFN_03788,BLLKJOKP_04294,HALBOOGP_03690,POFILHDL_03520,GOKHHJCB_02863,MFFOPBKH_03416,HGPKINJB_02763
dapE,dapE,Succinyl-diaminopimelate desuccinylase,18,18,1.0,1,1553,,,,1152,1152,1152.0,DHHEPMPN_03874,CBBFEIEG_04195,JAGMMPDK_04535,JCGKDLKP_04121,IJJMJDPO_05628,OPLBPFOJ_03801,PAPKKMNH_04819,EEMOKJNN_04227,JPLAHNLF_04951,DHNKKDKB_04931,EONIFOAI_03960,KPCEIPFN_05258,BLLKJOKP_05342,HALBOOGP_06119,POFILHDL_04053,GOKHHJCB_03811,MFFOPBKH_04556,HGPKINJB_05517
group_532,,hypothetical protein,18,18,1.0,1,1552,,,,1152,1152,1152.0,DHHEPMPN_02289,CBBFEIEG_03164,JAGMMPDK_04108,JCGKDLKP_03178,IJJMJDPO_00983,OPLBPFOJ_00230,PAPKKMNH_03467,EEMOKJNN_00886,JPLAHNLF_03928,DHNKKDKB_00341,EONIFOAI_01821,KPCEIPFN_02176,BLLKJOKP_00251,HALBOOGP_01963,POFILHDL_00341,GOKHHJCB_02038,MFFOPBKH_00283,HGPKINJB_01995
mmgC_3,mmgC_3,Acyl-CoA dehydrogenase,18,18,1.0,1,1551,,,,1152,1152,1152.0,DHHEPMPN_00658,CBBFEIEG_02044,JAGMMPDK_01342,JCGKDLKP_01744,IJJMJDPO_01473,OPLBPFOJ_01304,PAPKKMNH_01227,EEMOKJNN_01479,JPLAHNLF_01262,DHNKKDKB_02523,EONIFOAI_00804,KPCEIPFN_00926,BLLKJOKP_01542,HALBOOGP_00967,POFILHDL_02174,GOKHHJCB_00192,MFFOPBKH_02307,HGPKINJB_01480
degS,degS,Serine endoprotease DegS,18,18,1.0,1,1548,,,,1155,1155,1155.0,DHHEPMPN_04512,CBBFEIEG_00093,JAGMMPDK_01581,JCGKDLKP_01205,IJJMJDPO_04144,OPLBPFOJ_04022,PAPKKMNH_03876,EEMOKJNN_02061,JPLAHNLF_02182,DHNKKDKB_05179,EONIFOAI_04258,KPCEIPFN_02425,BLLKJOKP_04473,HALBOOGP_03125,POFILHDL_04968,GOKHHJCB_04121,MFFOPBKH_04885,HGPKINJB_03633
ttgA,ttgA,putative efflux pump periplasmic linker TtgA,18,18,1.0,1,1547,,,,1155,1155,1155.0,DHHEPMPN_04481,CBBFEIEG_03828,JAGMMPDK_04297,JCGKDLKP_05852,IJJMJDPO_03004,OPLBPFOJ_03678,PAPKKMNH_01986,EEMOKJNN_03547,JPLAHNLF_03534,DHNKKDKB_03472,EONIFOAI_03549,KPCEIPFN_02803,BLLKJOKP_03308,HALBOOGP_06174,POFILHDL_03232,GOKHHJCB_03686,MFFOPBKH_04231,HGPKINJB_03184
mexA,mexA,Multidrug resistance protein MexA,18,18,1.0,1,1545,,,,1155,1155,1155.0,DHHEPMPN_02982,CBBFEIEG_02983,JAGMMPDK_02723,JCGKDLKP_03586,IJJMJDPO_05536,OPLBPFOJ_05536,PAPKKMNH_02196,EEMOKJNN_05341,JPLAHNLF_02992,DHNKKDKB_03800,EONIFOAI_03316,KPCEIPFN_04445,BLLKJOKP_05513,HALBOOGP_04232,POFILHDL_03910,GOKHHJCB_03524,MFFOPBKH_03089,HGPKINJB_04376
emrA_2,emrA_2,Colistin resistance protein EmrA,18,18,1.0,1,1544,,,,1155,1155,1155.0,DHHEPMPN_02232,CBBFEIEG_03222,JAGMMPDK_04051,JCGKDLKP_03120,IJJMJDPO_01040,OPLBPFOJ_00174,PAPKKMNH_03410,EEMOKJNN_00829,JPLAHNLF_03986,DHNKKDKB_00398,EONIFOAI_01877,KPCEIPFN_02121,BLLKJOKP_00195,HALBOOGP_01907,POFILHDL_00398,GOKHHJCB_01983,MFFOPBKH_00227,HGPKINJB_01940
pbuE_1,pbuE_1,Purine efflux pump PbuE,18,18,1.0,1,1540,,,,1158,1158,1158.0,DHHEPMPN_04123,CBBFEIEG_04300,JAGMMPDK_03683,JCGKDLKP_03735,IJJMJDPO_04592,OPLBPFOJ_04562,PAPKKMNH_02561,EEMOKJNN_04782,JPLAHNLF_03813,DHNKKDKB_03027,EONIFOAI_02440,KPCEIPFN_03818,BLLKJOKP_04264,HALBOOGP_03660,POFILHDL_03550,GOKHHJCB_02893,MFFOPBKH_03386,HGPKINJB_02733
group_527,,hypothetical protein,18,18,1.0,1,1539,,,,1158,1158,1158.0,DHHEPMPN_03441,CBBFEIEG_03440,JAGMMPDK_02885,JCGKDLKP_02109,IJJMJDPO_02429,OPLBPFOJ_02512,PAPKKMNH_01450,EEMOKJNN_03127,JPLAHNLF_01553,DHNKKDKB_01711,EONIFOAI_02809,KPCEIPFN_02653,BLLKJOKP_02292,HALBOOGP_02854,POFILHDL_01793,GOKHHJCB_03117,MFFOPBKH_01840,HGPKINJB_01766
group_526,,hypothetical protein,18,18,1.0,1,1538,,,,1158,1158,1158.0,DHHEPMPN_02456,CBBFEIEG_00235,JAGMMPDK_01723,JCGKDLKP_01347,IJJMJDPO_03985,OPLBPFOJ_03016,PAPKKMNH_03265,EEMOKJNN_01966,JPLAHNLF_02324,DHNKKDKB_04812,EONIFOAI_04458,KPCEIPFN_02330,BLLKJOKP_03668,HALBOOGP_03218,POFILHDL_04241,GOKHHJCB_03890,MFFOPBKH_03514,HGPKINJB_06088
osmV_2,osmV_2,Osmoprotectant import ATP-binding protein OsmV,18,18,1.0,1,1537,,,,1158,1158,1158.0,DHHEPMPN_02419,CBBFEIEG_00198,JAGMMPDK_01686,JCGKDLKP_01310,IJJMJDPO_04022,OPLBPFOJ_02979,PAPKKMNH_04082,EEMOKJNN_02003,JPLAHNLF_02287,DHNKKDKB_04774,EONIFOAI_05917,KPCEIPFN_02367,BLLKJOKP_03706,HALBOOGP_03181,POFILHDL_04203,GOKHHJCB_03927,MFFOPBKH_03476,HGPKINJB_03575
yjfC,yjfC,Putative acid--amine ligase YjfC,18,18,1.0,1,1536,,,,1158,1158,1158.0,DHHEPMPN_01413,CBBFEIEG_02754,JAGMMPDK_04850,JCGKDLKP_04975,IJJMJDPO_03556,OPLBPFOJ_01996,PAPKKMNH_04342,EEMOKJNN_03341,JPLAHNLF_04626,DHNKKDKB_02867,EONIFOAI_05119,KPCEIPFN_05102,BLLKJOKP_03120,HALBOOGP_06274,POFILHDL_02766,GOKHHJCB_05056,MFFOPBKH_02529,HGPKINJB_05216
dacC_1,dacC_1,D-alanyl-D-alanine carboxypeptidase DacC,18,18,1.0,1,1535,,,,1158,1158,1158.0,DHHEPMPN_01370,CBBFEIEG_02711,JAGMMPDK_02551,JCGKDLKP_03414,IJJMJDPO_03519,OPLBPFOJ_02033,PAPKKMNH_01639,EEMOKJNN_03378,JPLAHNLF_02863,DHNKKDKB_02830,EONIFOAI_05078,KPCEIPFN_05445,BLLKJOKP_03159,HALBOOGP_03345,POFILHDL_02803,GOKHHJCB_05539,MFFOPBKH_02566,HGPKINJB_02543
yliI,yliI,Aldose sugar dehydrogenase YliI,18,18,1.0,1,1534,,,,1158,1158,1158.0,DHHEPMPN_00853,CBBFEIEG_01849,JAGMMPDK_01147,JCGKDLKP_01939,IJJMJDPO_01237,OPLBPFOJ_01540,PAPKKMNH_01032,EEMOKJNN_01715,JPLAHNLF_01067,DHNKKDKB_02345,EONIFOAI_00636,KPCEIPFN_01094,BLLKJOKP_01299,HALBOOGP_01135,POFILHDL_02352,GOKHHJCB_00024,MFFOPBKH_02129,HGPKINJB_01648
acdA_1,acdA_1,Acyl-CoA dehydrogenase,18,18,1.0,1,1533,,,,1158,1158,1158.0,DHHEPMPN_00417,CBBFEIEG_01086,JAGMMPDK_00703,JCGKDLKP_00418,IJJMJDPO_02883,OPLBPFOJ_01572,PAPKKMNH_00626,EEMOKJNN_02162,JPLAHNLF_00418,DHNKKDKB_01460,EONIFOAI_01349,KPCEIPFN_00299,BLLKJOKP_01859,HALBOOGP_01457,POFILHDL_01555,GOKHHJCB_00843,MFFOPBKH_01364,HGPKINJB_00831
iscS_2,iscS_2,Cysteine desulfurase IscS,18,18,1.0,1,1532,,,,1161,1161,1161.0,DHHEPMPN_05373,CBBFEIEG_05586,JAGMMPDK_05370,JCGKDLKP_05448,IJJMJDPO_04610,OPLBPFOJ_05205,PAPKKMNH_04565,EEMOKJNN_05275,JPLAHNLF_05393,DHNKKDKB_05257,EONIFOAI_05298,KPCEIPFN_00568,BLLKJOKP_05158,HALBOOGP_05673,POFILHDL_05160,GOKHHJCB_05136,MFFOPBKH_05069,HGPKINJB_04728
lldD_2,lldD_2,L-lactate dehydrogenase,18,18,1.0,1,1531,,,,1161,1161,1161.0,DHHEPMPN_04732,CBBFEIEG_00599,JAGMMPDK_03306,JCGKDLKP_04766,IJJMJDPO_04380,OPLBPFOJ_04922,PAPKKMNH_03008,EEMOKJNN_05104,JPLAHNLF_03609,DHNKKDKB_04714,EONIFOAI_02642,KPCEIPFN_04953,BLLKJOKP_03773,HALBOOGP_04993,POFILHDL_04380,GOKHHJCB_05266,MFFOPBKH_04444,HGPKINJB_04872
acdA_2,acdA_2,Acyl-CoA dehydrogenase,18,18,1.0,1,1530,,,,1161,1161,1161.0,DHHEPMPN_04185,CBBFEIEG_04238,JAGMMPDK_03621,JCGKDLKP_03797,IJJMJDPO_03401,OPLBPFOJ_04409,PAPKKMNH_02499,EEMOKJNN_04020,JPLAHNLF_03751,DHNKKDKB_03104,EONIFOAI_02504,KPCEIPFN_03882,BLLKJOKP_04378,HALBOOGP_03596,POFILHDL_03627,GOKHHJCB_02957,MFFOPBKH_03308,HGPKINJB_02669
ugpC_2,ugpC_2,sn-glycerol-3-phosphate import ATP-binding protein UgpC,18,18,1.0,1,1529,,,,1161,1161,1161.0,DHHEPMPN_03338,CBBFEIEG_03543,JAGMMPDK_02988,JCGKDLKP_02007,IJJMJDPO_02532,OPLBPFOJ_02410,PAPKKMNH_01553,EEMOKJNN_03230,JPLAHNLF_01451,DHNKKDKB_01609,EONIFOAI_02707,KPCEIPFN_02551,BLLKJOKP_02190,HALBOOGP_02957,POFILHDL_01691,GOKHHJCB_03220,MFFOPBKH_01738,HGPKINJB_01869
group_525,,Gamma-butyrobetaine dioxygenase,18,18,1.0,1,1528,,,,1161,1161,1161.0,DHHEPMPN_01836,CBBFEIEG_01773,JAGMMPDK_00477,JCGKDLKP_00656,IJJMJDPO_00174,OPLBPFOJ_01039,PAPKKMNH_00477,EEMOKJNN_00174,JPLAHNLF_00991,DHNKKDKB_00625,EONIFOAI_00130,KPCEIPFN_03462,BLLKJOKP_01103,HALBOOGP_00484,POFILHDL_01112,GOKHHJCB_01164,MFFOPBKH_00752,HGPKINJB_00483
group_524,,hypothetical protein,18,18,1.0,1,1527,,,,1161,1161,1161.0,DHHEPMPN_00971,CBBFEIEG_04970,JAGMMPDK_01939,JCGKDLKP_02759,IJJMJDPO_00724,OPLBPFOJ_00489,PAPKKMNH_03718,EEMOKJNN_01145,JPLAHNLF_01872,DHNKKDKB_00070,EONIFOAI_03398,KPCEIPFN_03161,BLLKJOKP_00554,HALBOOGP_03821,POFILHDL_00070,GOKHHJCB_02506,MFFOPBKH_00554,HGPKINJB_02895
hcaT,hcaT,putative 3-phenylpropionic acid transporter,18,18,1.0,1,1526,,,,1161,1161,1161.0,DHHEPMPN_00473,CBBFEIEG_01142,JAGMMPDK_00647,JCGKDLKP_00474,IJJMJDPO_04223,OPLBPFOJ_04189,PAPKKMNH_00570,EEMOKJNN_04636,JPLAHNLF_00474,DHNKKDKB_01516,EONIFOAI_01289,KPCEIPFN_00360,BLLKJOKP_01915,HALBOOGP_01517,POFILHDL_01611,GOKHHJCB_00903,MFFOPBKH_01308,HGPKINJB_00771
group_522,,hypothetical protein,18,18,1.0,1,1524,,,,1164,1164,1164.0,DHHEPMPN_05414,CBBFEIEG_05545,JAGMMPDK_05329,JCGKDLKP_05489,IJJMJDPO_04651,OPLBPFOJ_05164,PAPKKMNH_04606,EEMOKJNN_05234,JPLAHNLF_05352,DHNKKDKB_05215,EONIFOAI_05257,KPCEIPFN_00527,BLLKJOKP_05117,HALBOOGP_05632,POFILHDL_05118,GOKHHJCB_05095,MFFOPBKH_05027,HGPKINJB_04687
