qseqid	sseqid	uniprot_acc	stitle	pident	length	evalue	bitscore	kegg_gene_id	pathway_id	pathway_name
group_3639	sp|I6Y778.1|	I6Y778	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase [NADH]; AltName: Full=Beta-ketoacyl CoA reductase; AltName: Full=FASII-like 3-oxoacyl-thioester reductase; AltName: Full=HMwFabG [Mycobacterium tuberculosis H37Rv]	47.921	457	2.81e-114	346	NA	NA	NA
group_3640	sp|P28269.1|	P28269	RecName: Full=Omega-amino acid--pyruvate aminotransferase; Short=Omega-APT; AltName: Full=Beta-alanine--pyruvate aminotransferase [Pseudomonas putida]	94.183	447	0	851	NA	NA	NA
group_3646	sp|O13737.2|	O13737	RecName: Full=2-hydroxy-palmitic acid dioxygenase mpo1; AltName: Full=Metabolism of phytosphingosine to odd-numbered fatty acids protein 1; Short=Metabolism of PHS to odd-numbered FA protein 1 [Schizosaccharomyces pombe 972h-]	30.323	155	3.5e-7	51.6	NA	NA	NA
group_3648	sp|P22639.2|	P22639	RecName: Full=Uncharacterized glycosyltransferase alr2836 [Nostoc sp. PCC 7120 = FACHB-418]	30.556	216	2.17e-17	84.3	NA	NA	NA
group_365	sp|O07635.1|	O07635	RecName: Full=Protein PhoH2; AltName: Full=Protein YlaK; AltName: Full=RNA 5'-3' helicase PhoH2 [Bacillus subtilis subsp. subtilis str. 168]	37.446	462	1.07e-77	252	NA	NA	NA
group_3657	sp|Q44879.1|	Q44879	RecName: Full=Carboxy-terminal-processing protease; Short=C-terminal-processing protease; Flags: Precursor [Bartonella bacilliformis KC583]	50.127	393	7.99e-116	348	NA	NA	NA
group_3659	sp|P27650.1|	P27650	RecName: Full=Protein HupE; Flags: Precursor [Rhizobium leguminosarum bv. viciae]	50.365	137	9.48e-18	80.1	NA	NA	NA
group_3663	sp|Q94AS5.1|	Q94AS5	RecName: Full=Isoprenylcysteine alpha-carbonyl methylesterase ICME; AltName: Full=Isoprenylcysteine methylesterase; AltName: Full=Prenylcysteine methylesterase; Short=AtPCME [Arabidopsis thaliana]	31.2	250	4.62e-20	92.8	NA	NA	NA
group_3672	sp|P21628.1|	P21628	RecName: Full=High-affinity branched-chain amino acid transport system permease protein BraE [Pseudomonas aeruginosa PAO1]	53.398	412	5.750000000000001e-85	268	NA	NA	NA
group_3673	sp|O53664.1|	O53664	RecName: Full=3-hydroxyacyl-thioester dehydratase X; AltName: Full=3-hydroxybutyryl-CoA dehydratase; AltName: Full=Enoyl-CoA hydratase 2 [Mycobacterium tuberculosis H37Rv]	36.522	230	9.06e-33	124	NA	NA	NA
group_3674	sp|G3XD30.1|	G3XD30	RecName: Full=Type IV pilus inner membrane component PilN [Pseudomonas aeruginosa PAO1]	42.077	183	6.32e-39	134	NA	NA	NA
group_3676	sp|Q57856.1|	Q57856	RecName: Full=Putative ABC transporter permease protein MJ0413 [Methanocaldococcus jannaschii DSM 2661]	33.668	199	2.77e-15	77	NA	NA	NA
group_3677	sp|P9WMT2.1|	P9WMT2	RecName: Full=Putative conjugal transfer protein MT3759 [Mycobacterium tuberculosis CDC1551]	42.475	299	9.929999999999998e-56	191	NA	NA	NA
group_368	sp|A0Q7V6.1|	A0Q7V6	RecName: Full=Probable sensor histidine kinase BfpK [Francisella tularensis subsp. novicida U112]	32.576	264	9.509999999999999e-37	141	NA	NA	NA
group_3683	sp|Q0VZ69.1|	Q0VZ69	RecName: Full=Tryptophan 2-halogenase [Chondromyces crocatus]	30.994	342	3.1699999999999998e-31	128	NA	NA	NA
group_3684	sp|O86332.1|	O86332	RecName: Full=Putative monooxygenase Rv0793 [Mycobacterium tuberculosis H37Rv]	34.118	85	4.23e-12	60.1	NA	NA	NA
group_369	sp|P42314.3|	P42314	RecName: Full=Uncharacterized transporter YxjC [Bacillus subtilis subsp. subtilis str. 168]	58.901	455	7.629999999999999e-175	501	NA	NA	NA
group_3693	sp|P55702.1|	P55702	RecName: Full=Uncharacterized protein y4xJ [Sinorhizobium fredii NGR234]	45.669	254	8.209999999999999e-55	190	NA	NA	NA
group_3695	sp|Q6INV3.1|	Q6INV3	RecName: Full=Leucine-rich repeat-containing protein 57 [Xenopus laevis]	31.875	160	1.4e-8	61.2	NA	NA	NA
group_3697	sp|Q8FW95.1|	Q8FW95	RecName: Full=Bacterioferritin; Short=BFR [Brucella suis 1330]	34.559	136	3.33e-11	61.6	NA	NA	NA
group_3698	sp|Q55116.1|	Q55116	RecName: Full=Putative esterase sll0410 [Synechocystis sp. PCC 6803 substr. Kazusa]	33.333	102	2.38e-10	58.5	NA	NA	NA
group_37	sp|P14283.3|	P14283	RecName: Full=Pertactin autotransporter; AltName: Full=P.93; Contains: RecName: Full=Outer membrane protein P.69; Contains: RecName: Full=Pertactin translocator; Flags: Precursor [Bordetella pertussis Tohama I]	36.364	550	6.94e-74	266	NA	NA	NA
group_370	sp|Q07698.1|	Q07698	RecName: Full=ABC transporter protein AbcA [Aeromonas salmonicida]	50.464	323	3.6e-108	325	NA	NA	NA
group_3704	sp|P20370.2|	P20370	RecName: Full=4-carboxymuconolactone decarboxylase; Short=CMD [Acinetobacter baylyi ADP1]	51.515	132	1.5299999999999999e-52	165	NA	NA	NA
group_3707	sp|A0Q7V6.1|	A0Q7V6	RecName: Full=Probable sensor histidine kinase BfpK [Francisella tularensis subsp. novicida U112]	30.469	256	7.7e-39	146	NA	NA	NA
group_371	sp|Q88CC1.1|	Q88CC1	RecName: Full=2-oxoadipate dioxygenase/decarboxylase; AltName: Full=2-hydroxyglutarate synthase [Pseudomonas putida KT2440]	69.063	459	0	615	NA	NA	NA
group_3710	sp|A0A084R1K2.1|	A0A084R1K2	RecName: Full=Short-chain dehydrogenase/reductase ATR9; AltName: Full=Core atranone cluster (CAC) protein 9 [Stachybotrys chlorohalonatus IBT 40285]	34.091	132	3.22e-7	52.8	NA	NA	NA
group_3720	sp|O32221.1|	O32221	RecName: Full=Copper chaperone CopZ; AltName: Full=Copper-ion-binding protein [Bacillus subtilis subsp. subtilis str. 168]	44.615	65	1.96e-9	52.4	NA	NA	NA
group_3723	sp|A1KH31.1|	A1KH31	RecName: Full=Peptidoglycan-binding protein ArfA; AltName: Full=Outer membrane protein A; Short=OmpATb; AltName: Full=Outer membrane protein ArfA [Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2]	32.292	96	1.42e-8	59.3	NA	NA	NA
group_3724	sp|Q7NA64.1|	Q7NA64	RecName: Full=UPF0276 protein plu0081 [Photorhabdus laumondii subsp. laumondii TTO1]	60.678	295	5.96e-126	364	NA	NA	NA
group_3725	sp|Q9HXY5.1|	Q9HXY5	RecName: Full=Skp-like protein; Flags: Precursor [Pseudomonas aeruginosa PAO1]	80.537	149	3.97e-84	248	NA	NA	NA
group_3727	sp|O96876.1|	O96876	RecName: Full=Protein TCP17 [Trypanosoma cruzi]	48.98	147	2.22e-28	105	NA	NA	NA
group_3747	sp|P0AAL9.1|	P0AAL9	RecName: Full=Uncharacterized protein YkgJ [Escherichia coli K-12]	51.429	105	2.8799999999999997e-32	112	NA	NA	NA
group_3752	sp|O34638.1|	O34638	RecName: Full=Sensor histidine kinase YkoH [Bacillus subtilis subsp. subtilis str. 168]	41.667	60	5.92e-6	45.8	NA	NA	NA
group_376	sp|P30871.1|	P30871	RecName: Full=Inorganic triphosphatase; Short=PPPase; AltName: Full=ORFXE [Escherichia coli K-12]	35.652	230	8.54e-15	79.7	NA	NA	NA
group_3765	sp|Q9HWR3.1|	Q9HWR3	RecName: Full=Bacteriophytochrome; AltName: Full=Phytochrome-like protein [Pseudomonas aeruginosa PAO1]	33.333	240	3.9400000000000003e-26	113	NA	NA	NA
group_3768	sp|B1ZZL9.1|	B1ZZL9	RecName: Full=Probable DNA ligase; AltName: Full=Polydeoxyribonucleotide synthase [ATP] [Opitutus terrae PB90-1]	34.603	315	7.77e-39	149	NA	NA	NA
group_3771	sp|P21628.1|	P21628	RecName: Full=High-affinity branched-chain amino acid transport system permease protein BraE [Pseudomonas aeruginosa PAO1]	73.141	417	4.57e-156	450	NA	NA	NA
group_3773	sp|Q47456.1|	Q47456	RecName: Full=Transcriptional regulatory protein PcoR [Escherichia coli]	43.478	230	8.3e-56	180	NA	NA	NA
group_3776	sp|P45682.1|	P45682	RecName: Full=Lipoprotein NlpD/LppB homolog; Flags: Precursor [Pseudomonas aeruginosa PAO1]	65.737	251	4.63e-98	292	NA	NA	NA
group_3777	sp|C3K7J3.1|	C3K7J3	RecName: Full=UPF0225 protein PFLU_1319 [Pseudomonas [fluorescens] SBW25]	95.513	156	2.96e-111	315	NA	NA	NA
group_378	sp|O42701.1|	O42701	RecName: Full=Na(+)/H(+) antiporter 2 [Zygosaccharomyces rouxii]	35.294	136	6.36e-7	55.5	NA	NA	NA
group_3783	sp|P42724.1|	P42724	RecName: Full=Trifolitoxin-processing protein TfxB [Rhizobium leguminosarum bv. trifolii]	32.8	125	4.89e-7	54.3	NA	NA	NA
group_3788	sp|P48840.1|	P48840	RecName: Full=Beta-agarase B [Vibrio sp. JT0107]	33.136	676	2.82e-105	347	NA	NA	NA
group_3791	sp|Q9HYT3.1|	Q9HYT3	RecName: Full=Cyclic di-GMP phosphodiesterase NbdA; AltName: Full=NO-induced biofilm dispersion locus A [Pseudomonas aeruginosa PAO1]	52.684	708	0	671	NA	NA	NA
group_3793	sp|A5U908.2|	A5U908	RecName: Full=L-cysteine desulfhydrase Cds1 [Mycobacterium tuberculosis H37Ra]	58.841	345	4.9e-141	407	NA	NA	NA
group_3795	sp|Q88JK6.1|	Q88JK6	RecName: Full=Methyl-accepting chemotaxis protein PcaY; AltName: Full=PcaY_PP [Pseudomonas putida KT2440]	51.258	318	1.6499999999999998e-35	143	NA	NA	NA
group_3797	sp|Q05627.2|	Q05627	RecName: Full=Uncharacterized protein Cbei_0202; AltName: Full=ORF1 [Clostridium beijerinckii NCIMB 8052]	48.393	529	3.95e-173	502	NA	NA	NA
group_3798	sp|P77717.1|	P77717	RecName: Full=Uncharacterized lipoprotein YbaY; Flags: Precursor [Escherichia coli K-12]	42.857	84	1.99e-14	69.7	NA	NA	NA
group_380	sp|Q9HX91.1|	Q9HX91	RecName: Full=Uncharacterized protein PA3922; Flags: Precursor [Pseudomonas aeruginosa PAO1]	80.659	455	0	771	NA	NA	NA
group_3802	sp|Q80ZD3.2|	Q80ZD3	RecName: Full=Sodium-independent sulfate anion transporter; AltName: Full=Kidney brain anion transporter; Short=KBAT; AltName: Full=Solute carrier family 26 member 11 [Mus musculus]	34.127	126	1.3e-6	54.7	NA	NA	NA
group_3803	sp|A0A0H2ZJS2.1|	A0A0H2ZJS2	RecName: Full=Diguanylate cyclase DgcP [Pseudomonas aeruginosa UCBPP-PA14]	55.924	422	1.59e-131	406	NA	NA	NA
group_3804	sp|Q9I767.1|	Q9I767	RecName: Full=5'-nucleotidase; AltName: Full=Nucleoside 5'-monophosphate phosphohydrolase [Pseudomonas aeruginosa PAO1]	71.226	212	1.8299999999999998e-107	311	NA	NA	NA
group_3806	sp|P65024.1|	P65024	RecName: Full=Uncharacterized protein Mb2609c [Mycobacterium tuberculosis variant bovis AF2122/97]	40.084	237	1.3399999999999999e-45	162	NA	NA	NA
group_3807	sp|P56739.1|	P56739	RecName: Full=Uncharacterized 21.2 kDa protein [Botrytis cinerea]	40.171	117	1.33e-15	71.6	NA	NA	NA
group_3808	sp|A1WUH0.1|	A1WUH0	RecName: Full=Dodecin [Halorhodospira halophila SL1]	60.294	68	4.15e-15	65.9	NA	NA	NA
group_381	sp|P0DTK9.1|	P0DTK9	RecName: Full=Anti-CBASS protein Acb1; Short=Acb1 [Caulobacter sp. RHG1]	32.62	374	5.529999999999999e-48	177	NA	NA	NA
group_3823	sp|Q9I7B1.1|	Q9I7B1	RecName: Full=TPR repeat-containing protein PA0015 [Pseudomonas aeruginosa PAO1]	77.228	101	9.919999999999999e-52	160	NA	NA	NA
group_3824	sp|O34215.1|	O34215	RecName: Full=Gluconate 2-dehydrogenase cytochrome c subunit; Short=GA 2-DH cytochrome c subunit; Short=GADH cytochrome c subunit; Flags: Precursor [Pantoea cypripedii]	68.01	397	0	551	NA	NA	NA
group_3826	sp|P47206.2|	P47206	RecName: Full=Putative copper-binding protein [Stutzerimonas stutzeri]	50	176	2.85e-60	190	NA	NA	NA
group_3828	sp|P43862.1|	P43862	RecName: Full=DNA-processing protein A; AltName: Full=Protein Smf [Haemophilus influenzae Rd KW20]	55.204	221	9.49e-76	241	NA	NA	NA
group_3829	sp|Q4UNC7.1|	Q4UNC7	RecName: Full=Probable ABC transporter permease protein RF_0080 [Rickettsia felis URRWXCal2]	32.02	203	5.169999999999999e-23	100	NA	NA	NA
group_383	sp|Q9HX91.1|	Q9HX91	RecName: Full=Uncharacterized protein PA3922; Flags: Precursor [Pseudomonas aeruginosa PAO1]	70.089	448	0	672	NA	NA	NA
group_3830	sp|O34214.1|	O34214	RecName: Full=Gluconate 2-dehydrogenase flavoprotein; AltName: Full=GA 2-DH dehydrogenase subunit; Short=GADH dehydrogenase subunit; Flags: Precursor [Pantoea cypripedii]	76.599	594	0	971	NA	NA	NA
group_3832	sp|P11732.1|	P11732	RecName: Full=Cytochrome c5 [Azotobacter vinelandii]	43.21	81	4.7e-14	64.7	NA	NA	NA
group_3833	sp|Q9I7C1.1|	Q9I7C1	RecName: Full=1-acyl-sn-glycerol-3-phosphate acyltransferase; Short=1-AGP acyltransferase; Short=1-AGPAT; AltName: Full=Lysophosphatidic acid acyltransferase A; Short=LPA acyltransferase; Short=LPAAT [Pseudomonas aeruginosa PAO1]	73.756	221	8.98e-122	350	NA	NA	NA
group_3834	sp|Q9L4K3.1|	Q9L4K3	RecName: Full=Uncharacterized protein ORF1; Flags: Precursor [Chromohalobacter israelensis DSM 3043]	44.094	127	6.11e-38	135	NA	NA	NA
group_3835	sp|P43932.1|	P43932	RecName: Full=UPF0053 protein HI_0056 [Haemophilus influenzae Rd KW20]	60.776	232	5.08e-72	223	NA	NA	NA
group_3837	sp|O32254.1|	O32254	RecName: Full=Uncharacterized protein YvbT [Bacillus subtilis subsp. subtilis str. 168]	56.839	329	2.9e-135	390	NA	NA	NA
group_3838	sp|A0A0H2ZFK2.1|	A0A0H2ZFK2	RecName: Full=Dual specificity protein phosphatase TpbA; Short=DUSP; AltName: Full=Dual specific tyrosine phosphatase; AltName: Full=Protein tyrosine phosphatase; AltName: Full=Tyrosine phosphatase related to biofilm formation; Flags: Precursor [Pseudomonas aeruginosa UCBPP-PA14]	50	188	3.6e-67	209	NA	NA	NA
group_384	sp|P55679.1|	P55679	RecName: Full=Uncharacterized zinc protease y4wA [Sinorhizobium fredii NGR234]	34.624	439	3.84e-75	247	NA	NA	NA
group_3840	sp|P0AF43.1|	P0AF43	RecName: Full=Putative inorganic phosphate export protein YjbB [Escherichia coli K-12]	61.111	522	5.619999999999999e-173	503	NA	NA	NA
group_3841	sp|P76172.2|	P76172	RecName: Full=Uncharacterized protein YnfD; Flags: Precursor [Escherichia coli K-12]	39.655	58	6.21e-7	46.2	NA	NA	NA
group_3843	sp|B7K3M6.1|	B7K3M6	RecName: Full=Adaptive-response sensory kinase SasA; AltName: Full=Sensor histidine kinase SasA [Rippkaea orientalis PCC 8801]	30.566	265	1.13e-23	107	NA	NA	NA
group_3844	sp|P35158.2|	P35158	RecName: Full=Spore maturation protein B [Bacillus subtilis subsp. subtilis str. 168]	43.75	160	5.9799999999999996e-37	135	NA	NA	NA
group_3845	sp|O34213.1|	O34213	RecName: Full=Gluconate 2-dehydrogenase subunit 3; Short=GA 2-DH subunit 3; Short=GADH subunit 3; Flags: Precursor [Pantoea cypripedii]	50.917	218	3.37e-65	205	NA	NA	NA
group_3847	sp|P32646.2|	P32646	RecName: Full=Cytochrome c oxidase subunit 2, mitochondrial; AltName: Full=Cytochrome c oxidase polypeptide II; Flags: Precursor [Vigna unguiculata]	37.611	226	2.8599999999999998e-46	164	NA	NA	NA
group_385	sp|Q87WW4.1|	Q87WW4	RecName: Full=Tryptophan--tRNA ligase; AltName: Full=Tryptophanyl-tRNA synthetase; Short=TrpRS [Pseudomonas syringae pv. tomato str. DC3000]	80.23	435	0	710	NA	NA	NA
group_3853	sp|Q1JPD3.2|	Q1JPD3	RecName: Full=D-2-hydroxyglutarate dehydrogenase, mitochondrial; Flags: Precursor [Bos taurus]	36.229	472	3.29e-72	241	NA	NA	NA
group_3854	sp|P96684.1|	P96684	RecName: Full=Uncharacterized protein YdfG [Bacillus subtilis subsp. subtilis str. 168]	34.043	141	4.59e-21	86.7	NA	NA	NA
group_3859	sp|O05494.1|	O05494	RecName: Full=Uncharacterized HTH-type transcriptional regulator YdhC [Bacillus subtilis subsp. subtilis str. 168]	30.303	198	2.52e-15	75.5	NA	NA	NA
group_3862	sp|P16939.1|	P16939	RecName: Full=Insertion element IS600 uncharacterized 11 kDa protein; AltName: Full=ISO-S3 11 kDa protein [Shigella sonnei]	45.918	98	4.63e-17	72.8	NA	NA	NA
group_3863	sp|P16940.1|	P16940	RecName: Full=Insertion element IS600 uncharacterized 31 kDa protein; AltName: Full=ISO-S3 31 kDa protein [Shigella sonnei]	37.023	262	2.0799999999999996e-55	182	NA	NA	NA
group_3864	sp|P27675.1|	P27675	RecName: Full=Glutamine transport ATP-binding protein GlnQ [Geobacillus stearothermophilus]	52.321	237	2.89e-78	238	NA	NA	NA
group_3865	sp|Q06903.2|	Q06903	RecName: Full=Prolyl endopeptidase; Short=PE; AltName: Full=Post-proline cleaving enzyme [Aeromonas hydrophila]	47.107	121	1.84e-22	94.4	NA	NA	NA
group_3868	sp|Q8NQU4.2|	Q8NQU4	RecName: Full=Arginine transport ATP-binding protein ArgV [Corynebacterium glutamicum ATCC 13032]	47.222	252	2.5200000000000003e-73	227	NA	NA	NA
group_3869	sp|P0AEP9.1|	P0AEP9	RecName: Full=Glycolate oxidase subunit GlcD; AltName: Full=Glycolate dehydrogenase subunit GlcD [Escherichia coli K-12]	79.76	499	0	793	NA	NA	NA
group_3873	sp|P31135.1|	P31135	RecName: Full=Putrescine transport system permease protein PotH [Escherichia coli K-12]	31.818	220	2.7599999999999996e-31	122	NA	NA	NA
group_3874	sp|Q18AM3.1|	Q18AM3	RecName: Full=Spermidine/putrescine import ATP-binding protein PotA [Clostridioides difficile 630]	50.479	313	4.5199999999999995e-87	269	NA	NA	NA
group_3875	sp|P55480.1|	P55480	RecName: Full=Uncharacterized oxidoreductase y4hM; Flags: Precursor [Sinorhizobium fredii NGR234]	38.275	371	1.1600000000000001e-73	238	NA	NA	NA
group_3876	sp|P52073.1|	P52073	RecName: Full=Glycolate oxidase subunit GlcE; AltName: Full=Glycolate dehydrogenase subunit GlcE [Escherichia coli K-12]	62.464	349	2.0399999999999998e-157	448	NA	NA	NA
group_3877	sp|Q92WR9.1|	Q92WR9	RecName: Full=Trans-3-hydroxy-L-proline dehydratase; Short=T3LHyp dehydratase; Short=t3HypD; AltName: Full=Trans-L-3-hydroxyproline dehydratase [Sinorhizobium meliloti 1021]	47.647	340	7.79e-113	334	NA	NA	NA
group_3878	sp|Q9X248.1|	Q9X248	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase FabG; AltName: Full=3-ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-Ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-ketoacyl-ACP reductase [Thermotoga maritima MSB8]	40.562	249	4.79e-38	136	NA	NA	NA
group_388	sp|Q4R7M2.2|	Q4R7M2	RecName: Full=Dipeptidase 3; Flags: Precursor [Macaca fascicularis]	33.333	141	4.16e-16	84	NA	NA	NA
group_3882	sp|P23823.2|	P23823	RecName: Full=Uncharacterized HTH-type transcriptional regulator in aml 5'region; AltName: Full=ORF-S1 [Streptomyces limosus]	38.554	83	8.99e-7	48.9	NA	NA	NA
group_3883	sp|P35113.1|	P35113	RecName: Full=Nopaline transport system permease protein NocM [Agrobacterium fabrum str. C58]	30.693	202	8.34e-20	87.4	NA	NA	NA
group_3884	sp|A8IAD8.1|	A8IAD8	RecName: Full=Putative carbamate hydrolase RutD; AltName: Full=Aminohydrolase [Azorhizobium caulinodans ORS 571]	34.8	250	1.49e-42	148	NA	NA	NA
group_3886	sp|P27195.1|	P27195	RecName: Full=Prolyl endopeptidase; AltName: Full=Post-proline cleaving enzyme; AltName: Full=Proline-specific endopeptidase; Short=PE; Short=PSE; Flags: Precursor [Elizabethkingia miricola]	51.261	119	3.4099999999999995e-31	120	NA	NA	NA
group_3887	sp|P0AEQ1.1|	P0AEQ1	RecName: Full=Protein GlcG [Escherichia coli K-12]	64.655	116	9.53e-51	160	NA	NA	NA
group_3890	sp|P44191.1|	P44191	RecName: Full=Uncharacterized protein HI_1420 [Haemophilus influenzae Rd KW20]	35.484	93	1.01e-14	66.6	NA	NA	NA
group_3892	sp|Q1QYU6.1|	Q1QYU6	RecName: Full=Glycine betaine monooxygenase reductase subunit; Short=BMO reductase subunit; Short=GB monooxygenase reductase subunit; AltName: Full=BMO NADH-dependent flavine reductase component [Chromohalobacter israelensis DSM 3043]	31.487	343	1.63e-44	164	NA	NA	NA
group_39	sp|P09489.1|	P09489	RecName: Full=Extracellular serine protease; Flags: Precursor [Serratia marcescens]	39.56	1092	0	627	NA	NA	NA
group_3903	sp|Q8VMM5.1|	Q8VMM5	RecName: Full=Regulatory protein RecX [Pseudomonas putida]	61.111	126	7.2e-49	155	NA	NA	NA
group_3909	sp|Q7WDT6.1|	Q7WDT6	RecName: Full=Type IV secretion system protein PtlG homolog [Bordetella bronchiseptica RB50]	33.158	190	3.69e-21	97.8	NA	NA	NA
group_3912	sp|Q04230.1|	Q04230	RecName: Full=Type IV secretion system-coupling protein TrwB; AltName: Full=Conjugative coupling protein TrwB; AltName: Full=DNA-dependent ATPase; AltName: Full=Type IV coupling protein; Short=T4CP [Escherichia coli]	36.973	522	1.74e-97	307	NA	NA	NA
group_3915	sp|P52132.1|	P52132	RecName: Full=UPF0380 protein YfjQ [Escherichia coli K-12]	55.926	270	1.2199999999999999e-106	313	NA	NA	NA
group_3919	sp|P44190.1|	P44190	RecName: Full=Uncharacterized protein HI_1419 [Haemophilus influenzae Rd KW20]	48.315	89	2e-24	91.7	NA	NA	NA
group_3922	sp|P14500.1|	P14500	RecName: Full=Uncharacterized protein in mucB 3'region [Salmonella enterica subsp. enterica serovar Typhimurium]	49.153	59	1.07e-13	67.8	NA	NA	NA
group_3926	sp|Q6I6C7.1|	Q6I6C7	RecName: Full=Type IV secretion system protein TrwN; Flags: Precursor [Escherichia coli]	39.062	192	2.9399999999999996e-37	134	NA	NA	NA
group_393	sp|Q55434.1|	Q55434	RecName: Full=Phytochrome-like protein cph2; AltName: Full=Bacteriophytochrome cph2 [Synechocystis sp. PCC 6803 substr. Kazusa]	32.806	253	1.2299999999999999e-30	129	NA	NA	NA
group_3931	sp|A0AAI7ZGA5.1|	A0AAI7ZGA5	RecName: Full=Type IV secretion system ATPase VirB11 [Xanthomonas citri subsp. citri 306]	32.822	326	2e-49	171	NA	NA	NA
group_3934	sp|Q1RK58.1|	Q1RK58	RecName: Full=Phospholipase D; Short=PLD; AltName: Full=Choline phosphatase; Flags: Precursor [Rickettsia bellii RML369-C]	37.931	145	2.51e-13	68.9	NA	NA	NA
group_3938	sp|P35878.1|	P35878	RecName: Full=Transposase for insertion sequence element IS904 [Lactococcus lactis subsp. lactis Il1403]	30.769	182	9.78e-14	73.6	NA	NA	NA
group_394	sp|O05241.2|	O05241	RecName: Full=UPF0053 protein YugS [Bacillus subtilis subsp. subtilis str. 168]	33.073	384	9.19e-62	209	NA	NA	NA
group_3950	sp|Q8FEM8.1|	Q8FEM8	RecName: Full=mRNA interferase HigB; AltName: Full=Endoribonuclease HigB; AltName: Full=Toxin HigB [Escherichia coli CFT073]	39.048	105	2.93e-22	86.7	NA	NA	NA
group_3951	sp|P25736.1|	P25736	RecName: Full=Endonuclease-1; AltName: Full=Endonuclease I; Short=Endo I; Flags: Precursor [Escherichia coli K-12]	48.908	229	1.5400000000000003e-73	229	NA	NA	NA
group_3962	sp|Q56897.1|	Q56897	RecName: Full=Transposase for insertion sequence element IS1328 [Yersinia enterocolitica]	62.162	222	1.36e-98	294	NA	NA	NA
group_3964	sp|Q49WS9.1|	Q49WS9	RecName: Full=Uncharacterized oxidoreductase SSP1627 [Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292]	39.344	244	3.39e-39	139	NA	NA	NA
group_3966	sp|P25145.2|	P25145	RecName: Full=Uncharacterized oxidoreductase Lmo0432; AltName: Full=ORFA [Listeria monocytogenes EGD-e]	36.694	248	2.11e-36	132	NA	NA	NA
group_3969	sp|P18471.1|	P18471	RecName: Full=Protein TraU; Flags: Precursor [Escherichia coli K-12]	32.934	334	1.01e-41	151	NA	NA	NA
group_397	sp|Q9I753.1|	Q9I753	RecName: Full=Type VI secretion system baseplate component TssK1 [Pseudomonas aeruginosa PAO1]	75.45	444	0	654	NA	NA	NA
group_3971	sp|P67701.1|	P67701	RecName: Full=Antitoxin HigA [Escherichia coli K-12]	34.711	121	1.79e-12	65.9	NA	NA	NA
group_3977	sp|P94593.2|	P94593	RecName: Full=Putative ATP-dependent helicase/translocase YwqA [Bacillus subtilis subsp. subtilis str. 168]	39.364	503	2.08e-97	333	NA	NA	NA
group_3981	sp|Q8KYT4.1|	Q8KYT4	RecName: Full=Uncharacterized protein pXO1-01/BXA0003/GBAA_pXO1_0003 [Bacillus anthracis]	32.773	119	1.91e-11	64.7	NA	NA	NA
group_3982	sp|Q01723.2|	Q01723	RecName: Full=Type 3 secretion system secretin; Short=T3SS secretin; AltName: Full=Hypersensitivity response secretion protein HrpH; Flags: Precursor [Pseudomonas syringae pv. syringae]	34.884	86	3.26e-6	52.4	NA	NA	NA
group_3986	sp|Q9HI37.1|	Q9HI37	RecName: Full=Probable family 20 transposase [Pseudomonas aeruginosa PAO1]	55.786	337	3.02e-117	345	NA	NA	NA
group_3999	sp|F1ND48.2|	F1ND48	RecName: Full=F-box DNA helicase 1; AltName: Full=DNA 3'-5' helicase 1; AltName: Full=F-box only protein 18 [Gallus gallus]	32.47	502	8.6e-58	209	NA	NA	NA
group_401	sp|G3XDA8.1|	G3XDA8	RecName: Full=Phosphate-binding protein PstS; Flags: Precursor [Pseudomonas aeruginosa PAO1]	31.873	251	3.42e-14	76.6	NA	NA	NA
group_4010	sp|P32265.2|	P32265	RecName: Full=HTH-type transcriptional regulator NfxB [Pseudomonas aeruginosa PAO1]	59.459	185	5.05e-75	226	NA	NA	NA
group_4013	sp|P0C5W3.1|	P0C5W3	RecName: Full=Transposase InsC for insertion element IS2A/D/F/H/I/K [Escherichia coli]	68.687	99	2.16e-45	145	NA	NA	NA
group_4014	sp|P24082.2|	P24082	RecName: Full=Mating pair stabilization protein TraN; Flags: Precursor [Escherichia coli K-12]	32.143	112	1.37e-12	75.1	NA	NA	NA
group_402	sp|Q9I753.1|	Q9I753	RecName: Full=Type VI secretion system baseplate component TssK1 [Pseudomonas aeruginosa PAO1]	39.729	443	7.499999999999999e-101	311	NA	NA	NA
group_403	sp|P37631.3|	P37631	RecName: Full=Ribosomal RNA dihydrouridine synthase; Short=rRNA dihydrouridine synthase; AltName: Full=Ribosomal dihydrouridine synthase A [Escherichia coli K-12]	54.795	365	5.45e-138	404	NA	NA	NA
group_4035	sp|Q4KHU2.1|	Q4KHU2	RecName: Full=Nucleoid-associated protein PFL_1060 [Pseudomonas protegens Pf-5]	90.663	332	0	631	NA	NA	NA
group_4043	sp|P0C5W5.1|	P0C5W5	RecName: Full=Transposase InsD for insertion element IS2A/D/F/H/I/K [Escherichia coli]	60.169	236	1.45e-93	281	NA	NA	NA
