qseqid	sseqid	stitle	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	uniprot_acc	uniprot_full
ispE	sp|C3KDC2.1|	RecName: Full=4-diphosphocytidyl-2-C-methyl-D-erythritol kinase; Short=CMK; AltName: Full=4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase [Pseudomonas [fluorescens] SBW25]	95.88	267	11	0	1	801	17	283	0	511	C3KDC2	C3KDC2.1
ispF	sp|C3K703.1|	RecName: Full=2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase; Short=MECDP-synthase; Short=MECPP-synthase; Short=MECPS [Pseudomonas [fluorescens] SBW25]	99.363	157	1	0	1	471	1	157	7.95e-96	276	C3K703	C3K703.1
ispG	sp|C3K1L4.1|	RecName: Full=4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin); AltName: Full=1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase [Pseudomonas [fluorescens] SBW25]	97.74	354	8	0	1	1062	1	354	0	638	C3K1L4	C3K1L4.1
ispH	sp|C3KDX7.1|	RecName: Full=4-hydroxy-3-methylbut-2-enyl diphosphate reductase; Short=HMBPP reductase [Pseudomonas [fluorescens] SBW25]	99.048	315	3	0	1	945	1	315	0	639	C3KDX7	C3KDX7.1
ispU	sp|Q88MH6.1|	RecName: Full=Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific); AltName: Full=Ditrans,polycis-undecaprenylcistransferase; AltName: Full=Undecaprenyl diphosphate synthase; Short=UDS; AltName: Full=Undecaprenyl pyrophosphate synthase; Short=UPP synthase [Pseudomonas putida KT2440]	90.4	250	24	0	1	750	1	250	7.9e-173	479	Q88MH6	Q88MH6.1
iutA	sp|Q8YZR0.1|	RecName: Full=Schizokinen transporter SchT; AltName: Full=TonB-dependent transporter SchT; Short=TBDT SchT [Nostoc sp. PCC 7120 = FACHB-418]	35.489	696	403	18	121	2118	188	867	4.859999999999999e-103	337	Q8YZR0	Q8YZR0.1
ivy	sp|Q9HT89.1|	RecName: Full=Uncharacterized protein PA5481; Flags: Precursor [Pseudomonas aeruginosa PAO1]	60.769	130	50	1	82	471	27	155	7.009999999999999e-54	170	Q9HT89	Q9HT89.1
katB	sp|Q59635.1|	RecName: Full=Catalase; AltName: Full=Paraquat-inducible catalase isozyme B; Flags: Precursor [Pseudomonas aeruginosa PAO1]	80.873	481	92	0	97	1539	33	513	0	798	Q59635	Q59635.1
katE	sp|P95539.1|	RecName: Full=Catalase HPII [Pseudomonas putida]	77.483	715	155	3	1	2139	1	711	0	1134	P95539	P95539.1
kbp	sp|P0ADE6.2|	RecName: Full=Potassium binding protein Kbp; Short=K(+) binding protein Kbp [Escherichia coli K-12]	55.333	150	61	4	1	438	1	148	1.0599999999999999e-42	141	P0ADE6	P0ADE6.2
kce	sp|Q9HTH7.1|	RecName: Full=3-dehydrocarnitine:acetyl-CoA trimethylamine transferase; AltName: Full=3-dehydrocarnitine cleavage enzyme [Pseudomonas aeruginosa PAO1]	80.612	294	57	0	1	882	1	294	2.5799999999999996e-157	443	Q9HTH7	Q9HTH7.1
kdgK_1	sp|P45416.3|	RecName: Full=2-dehydro-3-deoxygluconokinase; AltName: Full=2-keto-3-deoxygluconokinase; AltName: Full=3-deoxy-2-oxo-D-gluconate kinase; AltName: Full=KDG kinase [Dickeya dadantii 3937]	53.289	304	135	5	7	900	2	304	2.1e-99	297	P45416	P45416.3
kdgK_2	sp|P50845.1|	RecName: Full=2-dehydro-3-deoxygluconokinase; AltName: Full=2-keto-3-deoxygluconokinase; AltName: Full=3-deoxy-2-oxo-D-gluconate kinase; AltName: Full=KDG kinase [Bacillus subtilis subsp. subtilis str. 168]	54.072	307	138	3	7	921	2	307	2.25e-113	333	P50845	P50845.1
kdgR_1~~~kdgR_2	sp|P76268.1|	RecName: Full=HTH-type transcriptional regulator KdgR [Escherichia coli K-12]	31.092	238	140	6	259	942	34	257	1.1699999999999998e-23	100	P76268	P76268.1
kdgR_3	sp|G3XD97.1|	RecName: Full=HTH-type transcriptional regulator PtxS [Pseudomonas aeruginosa PAO1]	67.879	330	104	1	25	1008	9	338	5.709999999999999e-158	449	G3XD97	G3XD97.1
kdpA_1	sp|C3K4Y3.1|	RecName: Full=Potassium-transporting ATPase potassium-binding subunit; AltName: Full=ATP phosphohydrolase [potassium-transporting] A chain; AltName: Full=Potassium-binding and translocating subunit A; AltName: Full=Potassium-translocating ATPase A chain [Pseudomonas [fluorescens] SBW25]	95.567	564	25	0	1	1692	1	564	0	956	C3K4Y3	C3K4Y3.1
kdpA_2	sp|A9C190.1|	RecName: Full=Potassium-transporting ATPase potassium-binding subunit; AltName: Full=ATP phosphohydrolase [potassium-transporting] A chain; AltName: Full=Potassium-binding and translocating subunit A; AltName: Full=Potassium-translocating ATPase A chain [Delftia acidovorans SPH-1]	77.425	567	128	0	1	1701	1	567	0	799	A9C190	A9C190.1
kdpB_1	sp|P57698.1|	RecName: Full=Potassium-transporting ATPase ATP-binding subunit; AltName: Full=ATP phosphohydrolase [potassium-transporting] B chain; AltName: Full=Potassium-binding and translocating subunit B; AltName: Full=Potassium-translocating ATPase B chain [Pseudomonas aeruginosa PAO1]	84.751	682	102	1	13	2052	8	689	0	1015	P57698	P57698.1
kdpB_2	sp|Q47H39.1|	RecName: Full=Potassium-transporting ATPase ATP-binding subunit; AltName: Full=ATP phosphohydrolase [potassium-transporting] B chain; AltName: Full=Potassium-binding and translocating subunit B; AltName: Full=Potassium-translocating ATPase B chain [Dechloromonas aromatica RCB]	77.18	688	156	1	10	2073	1	687	0	944	Q47H39	Q47H39.1
kdpC_1	sp|A5W155.1|	RecName: Full=Potassium-transporting ATPase KdpC subunit; AltName: Full=ATP phosphohydrolase [potassium-transporting] C chain; AltName: Full=Potassium-binding and translocating subunit C; AltName: Full=Potassium-translocating ATPase C chain [Pseudomonas putida F1]	70.718	181	53	0	1	543	1	181	2.9299999999999994e-87	256	A5W155	A5W155.1
kdpC_2	sp|Q89FC4.1|	RecName: Full=Potassium-transporting ATPase KdpC subunit; AltName: Full=ATP phosphohydrolase [potassium-transporting] C chain; AltName: Full=Potassium-binding and translocating subunit C; AltName: Full=Potassium-translocating ATPase C chain [Bradyrhizobium diazoefficiens USDA 110]	56.41	195	82	1	31	615	5	196	4.709999999999999e-55	177	Q89FC4	Q89FC4.1
kdpD_1	sp|P94608.2|	RecName: Full=Sensor protein KdpD [Clostridium acetobutylicum ATCC 824]	43.963	323	180	1	52	1017	25	347	3.27e-80	281	P94608	P94608.2
kdpD_2	sp|P21865.2|	RecName: Full=Sensor protein KdpD [Escherichia coli K-12]	46.222	900	450	14	10	2643	1	888	0	616	P21865	P21865.2
kdpE_1	sp|P9WGN0.1|	RecName: Full=Transcriptional regulatory protein KdpE [Mycobacterium tuberculosis CDC1551]	50.679	221	108	1	19	678	4	224	2.53e-62	197	P9WGN0	P9WGN0.1
kdpE_2	sp|P21866.3|	RecName: Full=KDP operon transcriptional regulatory protein KdpE [Escherichia coli K-12]	56.444	225	96	1	10	684	2	224	2.3899999999999998e-89	265	P21866	P21866.3
kdsA	sp|C3K6H5.1|	RecName: Full=2-dehydro-3-deoxyphosphooctonate aldolase; AltName: Full=3-deoxy-D-manno-octulosonic acid 8-phosphate synthase; AltName: Full=KDO-8-phosphate synthase; Short=KDO 8-P synthase; Short=KDOPS; AltName: Full=Phospho-2-dehydro-3-deoxyoctonate aldolase [Pseudomonas [fluorescens] SBW25]	99.644	281	1	0	1	843	1	281	0	545	C3K6H5	C3K6H5.1
kdsB	sp|C3JY27.1|	RecName: Full=3-deoxy-manno-octulosonate cytidylyltransferase; AltName: Full=CMP-2-keto-3-deoxyoctulosonic acid synthase; Short=CKS; Short=CMP-KDO synthase [Pseudomonas [fluorescens] SBW25]	96.85	254	8	0	1	762	1	254	0	502	C3JY27	C3JY27.1
kdsC	sp|Q8ZB47.1|	RecName: Full=3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC; AltName: Full=KDO 8-P phosphatase [Yersinia pestis]	49.112	169	86	0	1	507	14	182	1.1e-51	166	Q8ZB47	Q8ZB47.1
kdsD_1	sp|Q9HVW0.1|	RecName: Full=Arabinose 5-phosphate isomerase KdsD; Short=API; AltName: Full=Pa-KdsD [Pseudomonas aeruginosa PAO1]	79.012	324	68	0	1	972	3	326	0	511	Q9HVW0	Q9HVW0.1
kduD	sp|P0DXE1.1|	RecName: Full=Cis-4-hydroxycyclohexanecarboxylate dehydrogenase; Short=Cis-4-hydroxyCHCA dehydrogenase [Sinomonas cyclohexanicum]	42.92	226	112	7	88	723	27	249	6.939999999999999e-42	145	P0DXE1	P0DXE1.1
kefB	sp|P39830.2|	RecName: Full=Putative cation/proton antiporter YbaL [Escherichia coli K-12]	33.075	387	241	8	4	1128	3	383	3.24e-45	171	P39830	P39830.2
kefC_1	sp|Q0ZAH7.1|	RecName: Full=Putative K(+) efflux antiporter KefB [Alkalimonas amylolytica]	42.726	543	308	3	55	1674	24	566	7.7e-69	238	Q0ZAH7	Q0ZAH7.1
kefC_2	sp|B2VK47.1|	RecName: Full=Glutathione-regulated potassium-efflux system protein KefB; AltName: Full=K(+)/H(+) antiporter [Erwinia tasmaniensis Et1/99]	44.852	573	308	7	79	1794	26	591	9.589999999999998e-130	396	B2VK47	B2VK47.1
kefF_1	sp|P16083.5|	RecName: Full=Ribosyldihydronicotinamide dehydrogenase [quinone]; AltName: Full=NRH dehydrogenase [quinone] 2; AltName: Full=NRH:quinone oxidoreductase 2; AltName: Full=Quinone reductase 2; Short=QR2 [Homo sapiens]	44.24	217	120	1	4	651	5	221	4.3499999999999995e-57	184	P16083	P16083.5
kgtP_1	sp|P0AEX3.1|	RecName: Full=Alpha-ketoglutarate permease [Escherichia coli K-12]	53.991	426	196	0	31	1308	7	432	7.429999999999999e-147	428	P0AEX3	P0AEX3.1
kgtP_2	sp|P0AEX3.1|	RecName: Full=Alpha-ketoglutarate permease [Escherichia coli K-12]	69.834	421	126	1	7	1269	7	426	0	543	P0AEX3	P0AEX3.1
kinB	sp|O34206.1|	RecName: Full=Alginate biosynthesis sensor protein KinB [Pseudomonas aeruginosa]	59.03	598	237	2	1	1785	3	595	0	584	O34206	O34206.1
kstR2	sp|Q0S7V2.1|	RecName: Full=HTH-type transcriptional repressor KstR2 [Rhodococcus jostii RHA1]	32.749	171	103	5	76	567	16	181	3.33e-15	74.3	Q0S7V2	Q0S7V2.1
ktrA	sp|P39760.1|	RecName: Full=Ktr system potassium uptake protein C; Short=K(+)-uptake protein KtrC; AltName: Full=ORF4 [Bacillus subtilis subsp. subtilis str. 168]	38.164	207	127	1	61	678	7	213	5.909999999999999e-47	157	P39760	P39760.1
ktrB	sp|O32081.1|	RecName: Full=Ktr system potassium uptake protein B; Short=K(+)-uptake protein KtrB [Bacillus subtilis subsp. subtilis str. 168]	39.573	422	247	6	64	1326	31	445	1.85e-70	232	O32081	O32081.1
ku	sp|Q87ZG4.1|	RecName: Full=Non-homologous end joining protein Ku [Pseudomonas syringae pv. tomato str. DC3000]	78.626	262	56	0	1	786	1	262	4.0199999999999996e-150	425	Q87ZG4	Q87ZG4.1
kup	sp|Q4KHA4.1|	RecName: Full=Probable potassium transport system protein Kup [Pseudomonas protegens Pf-5]	93.049	633	44	0	1	1899	1	633	0	1088	Q4KHA4	Q4KHA4.1
kynA	sp|Q4KIP3.1|	RecName: Full=Tryptophan 2,3-dioxygenase; Short=TDO; AltName: Full=Tryptamin 2,3-dioxygenase; AltName: Full=Tryptophan oxygenase; Short=TO; Short=TRPO; AltName: Full=Tryptophan pyrrolase; AltName: Full=Tryptophanase [Pseudomonas protegens Pf-5]	87.719	285	33	1	1	855	1	283	0	525	Q4KIP3	Q4KIP3.1
kynB	sp|Q4KIP4.2|	RecName: Full=Kynurenine formamidase; Short=KFA; Short=KFase; AltName: Full=Arylformamidase; AltName: Full=N-formylkynurenine formamidase; Short=FKF [Pseudomonas protegens Pf-5]	84.507	213	33	0	1	639	1	213	4.03e-131	370	Q4KIP4	Q4KIP4.2
kynU	sp|P83788.1|	RecName: Full=Kynureninase; AltName: Full=L-kynurenine hydrolase [Pseudomonas fluorescens]	85.577	416	60	0	1	1248	1	416	0	743	P83788	P83788.1
laaA	sp|C3K630.1|	RecName: Full=L-amino acid amidase [Pseudomonas [fluorescens] SBW25]	93.548	310	20	0	1	930	1	310	0	592	C3K630	C3K630.1
lacC	sp|Q9KM71.1|	RecName: Full=1-phosphofructokinase; AltName: Full=Fructose 1-phosphate kinase; Short=Fru1PK [Vibrio cholerae O1 biovar El Tor str. N16961]	48.701	308	158	0	7	930	4	311	2.8499999999999997e-89	272	Q9KM71	Q9KM71.1
lacF	sp|P55602.1|	RecName: Full=Probable ABC transporter permease protein y4oQ [Sinorhizobium fredii NGR234]	37.5	256	155	5	76	837	27	279	4.19e-39	142	P55602	P55602.1
lamB	sp|Q7N987.1|	RecName: Full=Maltoporin; AltName: Full=Maltose-inducible porin; Flags: Precursor [Photorhabdus laumondii subsp. laumondii TTO1]	32.949	434	244	14	13	1215	9	428	1.78e-57	197	Q7N987	Q7N987.1
lcdH_2~~~lcdH~~~lcdH_1	sp|Q4ZSC0.1|	RecName: Full=L-carnitine dehydrogenase; Short=CDH; Short=L-CDH [Pseudomonas syringae pv. syringae B728a]	90.852	317	29	0	1	951	1	317	0	596	Q4ZSC0	Q4ZSC0.1
lcfB	sp|Q9EY88.1|	RecName: Full=Feruloyl-CoA synthase; AltName: Full=Feruloyl coenzyme A synthetase; AltName: Full=Feruloyl-CoA synthetase [Amycolatopsis sp.]	34.455	505	304	11	4	1500	5	488	5.6599999999999995e-68	229	Q9EY88	Q9EY88.1
ldc	sp|O50657.1|	RecName: Full=Lysine/ornithine decarboxylase; Short=LDC [Selenomonas ruminantium]	32.703	370	237	8	31	1137	5	363	1.0999999999999999e-52	182	O50657	O50657.1
ldh	sp|P54531.1|	RecName: Full=Leucine dehydrogenase; Short=LeuDH [Bacillus subtilis subsp. subtilis str. 168]	43.402	341	189	1	1	1011	3	343	1.95e-90	278	P54531	P54531.1
ldhA	sp|P44501.1|	RecName: Full=2-hydroxyacid dehydrogenase homolog [Haemophilus influenzae Rd KW20]	52.439	328	155	1	1	981	1	328	2.62e-117	344	P44501	P44501.1
lemA_1	sp|A8AVK0.1|	RecName: Full=Protein LemA [Streptococcus gordonii str. Challis substr. CH1]	36.747	166	92	3	109	606	30	182	9.73e-29	108	A8AVK0	A8AVK0.1
lemA_2	sp|A8AVK0.1|	RecName: Full=Protein LemA [Streptococcus gordonii str. Challis substr. CH1]	33.117	154	103	0	79	540	21	174	3.8199999999999996e-23	94.4	A8AVK0	A8AVK0.1
lepA	sp|C3K6G8.1|	RecName: Full=Elongation factor 4; Short=EF-4; AltName: Full=Ribosomal back-translocase LepA [Pseudomonas [fluorescens] SBW25]	99.666	599	2	0	1	1797	1	599	0	1195	C3K6G8	C3K6G8.1
lepB	sp|P26844.1|	RecName: Full=Signal peptidase I; Short=SPase I; AltName: Full=Leader peptidase I [Pseudomonas fluorescens]	96.127	284	11	0	1	852	1	284	0	556	P26844	P26844.1
leuA	sp|C3K1K7.1|	RecName: Full=2-isopropylmalate synthase; AltName: Full=Alpha-IPM synthase; AltName: Full=Alpha-isopropylmalate synthase [Pseudomonas [fluorescens] SBW25]	98.032	559	11	0	1	1677	1	559	0	1111	C3K1K7	C3K1K7.1
leuA_2	sp|Q9V1J1.1|	RecName: Full=Homocitrate synthase; Short=HCS [Pyrococcus abyssi GE5]	39.262	298	177	2	16	906	2	296	4.73e-61	201	Q9V1J1	Q9V1J1.1
leuB	sp|Q4KF05.1|	RecName: Full=3-isopropylmalate dehydrogenase; AltName: Full=3-IPM-DH; AltName: Full=Beta-IPM dehydrogenase; Short=IMDH [Pseudomonas protegens Pf-5]	95.278	360	17	0	1	1080	1	360	0	667	Q4KF05	Q4KF05.1
leuC_1	sp|Q65VS0.1|	RecName: Full=3-isopropylmalate dehydratase large subunit 1; AltName: Full=Alpha-IPM isomerase 1; Short=IPMI 1; AltName: Full=Isopropylmalate isomerase 1 [[Mannheimia] succiniciproducens MBEL55E]	70.172	466	139	0	7	1404	6	471	0	674	Q65VS0	Q65VS0.1
leuC_2	sp|Q4KF08.1|	RecName: Full=3-isopropylmalate dehydratase large subunit; AltName: Full=Alpha-IPM isomerase; Short=IPMI; AltName: Full=Isopropylmalate isomerase [Pseudomonas protegens Pf-5]	93.856	472	29	0	1	1416	1	472	0	896	Q4KF08	Q4KF08.1
leuD1_1	sp|Q65VR9.1|	RecName: Full=3-isopropylmalate dehydratase small subunit 1; AltName: Full=Alpha-IPM isomerase 1; Short=IPMI 1; AltName: Full=Isopropylmalate isomerase 1 [[Mannheimia] succiniciproducens MBEL55E]	62.687	201	74	1	7	609	1	200	8.62e-80	239	Q65VR9	Q65VR9.1
leuD1_2	sp|Q4KF07.1|	RecName: Full=3-isopropylmalate dehydratase small subunit; AltName: Full=Alpha-IPM isomerase; Short=IPMI; AltName: Full=Isopropylmalate isomerase [Pseudomonas protegens Pf-5]	93.458	214	14	0	1	642	1	214	2.68e-149	416	Q4KF07	Q4KF07.1
leuE	sp|A6T7N0.1|	RecName: Full=Leucine efflux protein [Klebsiella pneumoniae subsp. pneumoniae MGH 78578]	32.796	186	106	7	82	606	31	208	8.89e-13	67.8	A6T7N0	A6T7N0.1
leuS	sp|C3K2L2.1|	RecName: Full=Leucine--tRNA ligase; AltName: Full=Leucyl-tRNA synthetase; Short=LeuRS [Pseudomonas [fluorescens] SBW25]	96.659	868	29	0	1	2604	1	868	0	1736	C3K2L2	C3K2L2.1
lexA_1	sp|Q8KT78.1|	RecName: Full=LexA repressor [Pseudomonas chlororaphis subsp. chlororaphis]	94.554	202	11	0	1	606	1	202	5.85e-142	397	Q8KT78	Q8KT78.1
lexA_2	sp|P69202.1|	RecName: Full=Repressor protein C2 [Lederbergvirus P22]	32.857	210	122	4	22	621	10	210	2.37e-28	108	P69202	P69202.1
lexA_3	sp|Q881U0.1|	RecName: Full=LexA repressor 2 [Pseudomonas syringae pv. tomato str. DC3000]	76.617	201	47	0	10	612	1	201	1.22e-108	312	Q881U0	Q881U0.1
lexA_3~~~lexA_4~~~lexA_2	sp|P69202.1|	RecName: Full=Repressor protein C2 [Lederbergvirus P22]	47.716	197	97	2	49	639	20	210	3.699999999999999e-43	147	P69202	P69202.1
lexA_4	sp|P69202.1|	RecName: Full=Repressor protein C2 [Lederbergvirus P22]	46.047	215	102	4	10	642	6	210	5.4699999999999995e-40	139	P69202	P69202.1
lgrB	sp|Q70LM4.1|	RecName: Full=Linear gramicidin synthase subunit D; Includes: RecName: Full=ATP-dependent D-leucine adenylase; Short=D-LeuA; AltName: Full=D-leucine activase; Includes: RecName: Full=Leucine racemase [ATP-hydrolyzing]; Includes: RecName: Full=ATP-dependent tryptophan adenylase; Short=TrpA; AltName: Full=Tryptophan activase; Includes: RecName: Full=ATP-dependent glycine adenylase; Short=GlyA; AltName: Full=Glycine activase; Includes: RecName: Full=Linear gramicidin--PCP reductase [Brevibacillus parabrevis]	41.61	3701	1997	63	52	10818	1026	4674	0	2555	Q70LM4	Q70LM4.1
lgrD_1	sp|Q70LM5.1|	RecName: Full=Linear gramicidin synthase subunit C; Includes: RecName: Full=ATP-dependent valine adenylase; Short=ValA; AltName: Full=Valine activase; Includes: RecName: Full=ATP-dependent D-valine adenylase; Short=D-ValA; AltName: Full=D-valine activase; Includes: RecName: Full=Valine racemase [ATP-hydrolyzing]; Includes: RecName: Full=ATP-dependent tryptophan adenylase; Short=TrpA; AltName: Full=Tryptophan activase; Includes: RecName: Full=ATP-dependent tryptophan/phenylalanine/tyrosine adenylase; Short=Trp/Phe/TyrA; AltName: Full=Tryptophan/phenylalanine/tyrosine activase [Brevibacillus parabrevis]	38.378	3687	2103	61	2059	12843	28	3637	0	2191	Q70LM5	Q70LM5.1
lgrD_2	sp|Q70LM5.1|	RecName: Full=Linear gramicidin synthase subunit C; Includes: RecName: Full=ATP-dependent valine adenylase; Short=ValA; AltName: Full=Valine activase; Includes: RecName: Full=ATP-dependent D-valine adenylase; Short=D-ValA; AltName: Full=D-valine activase; Includes: RecName: Full=Valine racemase [ATP-hydrolyzing]; Includes: RecName: Full=ATP-dependent tryptophan adenylase; Short=TrpA; AltName: Full=Tryptophan activase; Includes: RecName: Full=ATP-dependent tryptophan/phenylalanine/tyrosine adenylase; Short=Trp/Phe/TyrA; AltName: Full=Tryptophan/phenylalanine/tyrosine activase [Brevibacillus parabrevis]	40.653	3707	2008	69	142	10983	2607	6214	0	2429	Q70LM5	Q70LM5.1
lgrD_3	sp|P0DX16.1|	RecName: Full=Isonitrile lipopeptide synthase [Streptomyces coeruleorubidus]	30.17	1001	605	29	565	3375	485	1455	1.39e-82	299	P0DX16	P0DX16.1
lgrE	sp|P14686.1|	RecName: Full=Gramicidin S biosynthesis protein GrsT [Aneurinibacillus migulanus]	37.004	227	142	1	1	678	16	242	4.4e-50	167	P14686	P14686.1
lgt	sp|C3K3Q9.1|	RecName: Full=Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase [Pseudomonas [fluorescens] SBW25]	94.444	270	15	0	1	810	1	270	0	517	C3K3Q9	C3K3Q9.1
lig	sp|B1ZZL9.1|	RecName: Full=Probable DNA ligase; AltName: Full=Polydeoxyribonucleotide synthase [ATP] [Opitutus terrae PB90-1]	35.629	334	183	6	709	1626	666	995	4.84e-44	171	B1ZZL9	B1ZZL9.1
ligA	sp|C3JXX6.1|	RecName: Full=DNA ligase; AltName: Full=Polydeoxyribonucleotide synthase [NAD(+)] [Pseudomonas [fluorescens] SBW25]	96.193	788	27	1	1	2364	1	785	0	1550	C3JXX6	C3JXX6.1
ligB	sp|C3K3F7.1|	RecName: Full=DNA ligase B; AltName: Full=Polydeoxyribonucleotide synthase [NAD(+)] B [Pseudomonas [fluorescens] SBW25]	80.3	533	105	0	64	1662	22	554	0	882	C3K3F7	C3K3F7.1
ligD	sp|Q9I1X7.1|	RecName: Full=Multifunctional non-homologous end joining protein LigD; AltName: Full=NHEJ DNA polymerase; Includes: RecName: Full=3'-phosphoesterase; Short=3'-ribonuclease/3'-phosphatase; Includes: RecName: Full=DNA ligase D; Short=LigD; AltName: Full=Polydeoxyribonucleotide synthase [ATP]; Includes: RecName: Full=DNA repair polymerase; Short=Pol; AltName: Full=Polymerase/primase [Pseudomonas aeruginosa PAO1]	55.542	839	348	8	4	2457	4	838	0	864	Q9I1X7	Q9I1X7.1
linC	sp|A0A1L5BUG8.1|	RecName: Full=2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase; Short=2,5-DDOL dehydrogenase [Sphingobium indicum B90A]	45.6	250	132	2	13	759	4	250	6.049999999999999e-54	177	A0A1L5BUG8	A0A1L5BUG8.1
lipA	sp|C3K2L8.1|	RecName: Full=Lipoyl synthase; AltName: Full=Lip-syn; Short=LS; AltName: Full=Lipoate synthase; AltName: Full=Lipoic acid synthase; AltName: Full=Sulfur insertion protein LipA [Pseudomonas [fluorescens] SBW25]	99.413	341	2	0	1	1023	1	341	0	702	C3K2L8	C3K2L8.1
lipB	sp|C3K2L9.1|	RecName: Full=Octanoyltransferase; AltName: Full=Lipoate-protein ligase B; AltName: Full=Lipoyl/octanoyl transferase; AltName: Full=Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase [Pseudomonas [fluorescens] SBW25]	97.209	215	6	0	1	645	1	215	2.6e-155	431	C3K2L9	C3K2L9.1
lips	sp|P08658.3|	RecName: Full=Triacylglycerol lipase; AltName: Full=Cold-adapted lipase; AltName: Full=Extracellular lipase; AltName: Full=Triacylglycerol ester hydrolase [Pseudomonas fragi]	47.635	296	152	2	1	888	1	293	3.73e-89	270	P08658	P08658.3
liuE	sp|Q9I2A0.1|	RecName: Full=3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase; Short=HIHG-CoA lyase; Short=HMG-CoA lyase; AltName: Full=(S)-3-hydroxy-3-methylglutaryl-CoA acetoacetate-lyase; AltName: Full=3-hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA acetate-lyase [Pseudomonas aeruginosa PAO1]	76.976	291	67	0	1	873	1	291	3.2299999999999995e-148	421	Q9I2A0	Q9I2A0.1
livF_1	sp|P0A191.1|	RecName: Full=High-affinity branched-chain amino acid transport ATP-binding protein LivF; AltName: Full=LIV-I protein F [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	59.916	237	95	0	1	711	1	237	9.48e-96	283	P0A191	P0A191.1
livF_2	sp|P0A191.1|	RecName: Full=High-affinity branched-chain amino acid transport ATP-binding protein LivF; AltName: Full=LIV-I protein F [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	42.105	228	130	2	1	681	5	231	1.72e-41	144	P0A191	P0A191.1
livF_3	sp|P21630.1|	RecName: Full=High-affinity branched-chain amino acid transport ATP-binding protein BraG [Pseudomonas aeruginosa PAO1]	46.121	232	121	1	1	684	1	232	2.9500000000000003e-59	189	P21630	P21630.1
livF_4	sp|P0A191.1|	RecName: Full=High-affinity branched-chain amino acid transport ATP-binding protein LivF; AltName: Full=LIV-I protein F [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	39.914	233	134	3	1	684	5	236	4.24e-38	135	P0A191	P0A191.1
livF_5	sp|P21629.1|	RecName: Full=High-affinity branched-chain amino acid transport ATP-binding protein BraF [Pseudomonas aeruginosa PAO1]	36.078	255	150	4	22	753	1	253	4.9e-46	157	P21629	P21629.1
livF_6	sp|P0A191.1|	RecName: Full=High-affinity branched-chain amino acid transport ATP-binding protein LivF; AltName: Full=LIV-I protein F [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	45.902	244	123	4	28	759	2	236	4.29e-61	195	P0A191	P0A191.1
livF_7	sp|P21630.1|	RecName: Full=High-affinity branched-chain amino acid transport ATP-binding protein BraG [Pseudomonas aeruginosa PAO1]	87.124	233	30	0	1	699	1	233	7.62e-137	386	P21630	P21630.1
livH_1	sp|P0AEX7.1|	RecName: Full=High-affinity branched-chain amino acid transport system permease protein LivH; AltName: Full=LIV-I protein H [Escherichia coli K-12]	56.478	301	130	1	13	912	8	308	6.8699999999999994e-90	273	P0AEX7	P0AEX7.1
livH_2	sp|P21627.1|	RecName: Full=High-affinity branched-chain amino acid transport system permease protein BraD [Pseudomonas aeruginosa PAO1]	31.65	297	185	6	13	855	7	301	3.06e-17	83.2	P21627	P21627.1
livH_5	sp|P21627.1|	RecName: Full=High-affinity branched-chain amino acid transport system permease protein BraD [Pseudomonas aeruginosa PAO1]	84.691	307	47	0	1	921	1	307	2.4999999999999997e-159	449	P21627	P21627.1
lldD_1	sp|C3K053.2|	RecName: Full=L-lactate dehydrogenase [Pseudomonas [fluorescens] SBW25]	94.415	376	21	0	1	1128	1	376	0	738	C3K053	C3K053.2
lldD_2	sp|Q4ZY06.1|	RecName: Full=L-lactate dehydrogenase [Pseudomonas syringae pv. syringae B728a]	47.105	380	191	4	7	1131	2	376	6.139999999999998e-119	353	Q4ZY06	Q4ZY06.1
lnrK	sp|A8R3T0.1|	RecName: Full=Glycerol metabolism activator; AltName: Full=DNA-binding response regulator; AltName: Full=Protein AgmR [Pseudomonas putida]	44.828	203	105	2	10	600	2	203	9.23e-46	154	A8R3T0	A8R3T0.1
lnt	sp|Q87VX7.1|	RecName: Full=Apolipoprotein N-acyltransferase; Short=ALP N-acyltransferase [Pseudomonas syringae pv. tomato str. DC3000]	79.724	508	100	2	1	1521	1	506	0	763	Q87VX7	Q87VX7.1
